@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
银妆素裹	l:1,
银婚	n:2,
银子	n:5,
银寿春	nr:1,
银小丑	n:1,
银屏	n:8,
银屑灵冲剂	n:1,
银屑病	n:10,
银山	ns:4,
银山化工	nt:4,
银峰	nz:5,
银峰实业公司	nt:1,
银川	ns:35,
银川市	ns:26,
银川市新华地下商场	ns:1,
银川平原	ns:1,
银川河东机场	ns:1,
银币	n:9,
银幕	n:41,
银座	ns:2,nz:4,
银座商城	ns:1,
银座美术馆	ns:1,
银弹	n:1,
银星	nz:1,
银景生	nr:5,
银杉	n:1,
银杏	n:37,
银杏园	n:1,
银杏果	n:1,
银杏树	n:11,
银杏王	n:1,
银杏酮	n:1,
银杯	n:4,
银杯赛	n:5,
银根	n:19,
银桥	nz:2,
银欣	nz:1,
银款	n:1,
银武威	ns:1,
银沙湾	ns:1,
银河	ns:1,n:11,nz:2,
银河—Ⅲ	nz:4,
银河一号	nz:1,
银河派出所	nt:1,
银河系	n:19,
银河３号	nz:1,
银泉市	ns:1,
银海	n:1,
银湖	ns:1,
银湾	nz:2,
银湾花园	ns:1,
银滩	ns:10,
银滩公园	ns:3,
银灰色	n:6,
银灵一级公路	nz:1,
银牌	n:60,
银狐	n:2,
银球	n:1,
银白	b:4,
银白色	n:4,
银盐	b:1,
银矿	n:2,
银碗	n:1,
银碗赛	n:4,
银碟	n:2,
银碟赛	n:3,
银笔奖	nz:1,
银箔	n:1,
银箔衬	b:2,
银粉	n:1,
银线	n:2,
银色	n:15,
银花	n:3,
银花霓影	l:1,
银荔	nz:2,
银荔杯	n:2,nz:7,
银荔杯象棋全国冠军赛	nz:1,
银蛇	n:1,
银蝶	n:1,
银行	n:4533,
银行业	n:90,
银行制	n:1,
银行卡	n:13,
银行学	n:3,
银行家	n:19,
银行局	n:6,
银行方	n:1,
银行法	n:44,
银行界	n:16,
银行街	ns:1,
银行论	n:3,
银行部	n:1,
银装	n:3,
银装素裹	l:3,i:4,
银质	b:1,n:1,
银质奖	n:5,
银贸	j:1,
银轮	nz:1,
银轮宾馆	ns:1,
银边席	n:1,
银都	nz:2,
银都大厦	ns:1,
银针	n:12,
银钓	n:1,
银钱	n:2,
银铜牌	n:2,
银锭	n:2,
银闪闪	z:1,
银须	n:2,
银鬃	n:1,
银鱼	n:1,
银鸽	nz:1,
银鸿	nz:1,
银鹰	n:2,
银鹿奖	nz:1,
铷钟	n:1,
铸	v:51,vn:1,
铸件	n:4,
铸字	vn:1,
铸字机	n:2,
铸就	v:27,
铸币	n:1,
铸币厂	n:4,
铸币局	n:1,
铸成	v:11,
铸模	n:1,
铸管	n:2,nz:1,
铸补	v:1,
铸造	v:22,vn:13,
铸造厂	n:5,
铸造焦	n:1,
铸钢	vn:1,
铸铁	n:1,
铸锅	n:1,
铸锅厂	n:1,
铸锻	vn:1,
铺	v:148,q:1,n:2,
铺位	n:3,
铺叙	v:1,
铺垫	v:5,n:3,vn:3,
铺天盖地	i:26,
铺头	n:1,
铺子	n:3,
铺就	v:10,
铺展	v:8,
铺平	v:22,
铺床	v:1,
铺底	v:1,vn:1,
铺建	v:1,
铺开	v:21,vn:1,
铺张	a:7,
铺张浪费	i:37,
铺张矫饰	l:1,
铺摊	v:2,
铺板	n:1,
铺架	v:1,vn:1,
铺档	n:1,
铺盖	v:2,n:6,
铺盖卷	n:2,
铺砌	v:2,
铺装	vn:1,
铺设	v:34,vn:5,
铺路	v:15,vn:1,
铺路石	n:2,
铺轨	v:8,vn:4,
铺锦叠翠	i:1,
铺陈	v:3,
铺集镇	ns:3,
铺集镇农业技术服务公司	nt:1,
铺面	n:6,
链	Ng:7,
链子	n:1,
链子崖	ns:1,
链条	n:27,
链条厂	n:1,
链条式	d:1,
链状	b:1,
链球	n:2,
链索	n:1,
链轨式	b:1,
铿	o:3,
铿锵	a:1,o:11,
铿锵有力	l:2,i:2,
销	v:166,Ng:1,j:4,vn:3,
销价	n:3,
销势	n:6,
销区	n:6,
销售	v:578,n:1,vn:802,
销售一空	l:11,
销售业	n:1,
销售价	n:6,
销售员	n:8,
销售商	n:13,
销售场	n:1,
销售处	n:1,
销售奖	n:4,
销售店	n:2,
销售方	n:1,
销售权	n:2,
销售法	n:2,
销售点	n:10,
销售率	n:14,
销售科	n:2,
销售税	n:1,
销售站	n:1,
销售网	n:4,
销售者	n:11,
销售部	n:1,
销售量	n:24,
销售额	n:155,
销地	n:2,
销声匿迹	i:10,
销方	n:1,
销毁	v:166,vn:13,
销烟	v:1,
销蚀	v:1,
销货	v:1,
销货款	n:3,
销货车	n:1,
销货额	n:1,
销赃	v:1,vn:2,
销路	n:88,
销量	n:64,vn:1,
销（预）售	j:1,
锁	v:48,n:20,
锁业	n:1,
锁具	n:6,
锁定	v:5,
锁死	v:1,
锁眼	n:2,
锁缝机	n:1,
锁边机	n:1,
锁链	n:3,
锁门	v:3,
锁闭	v:1,
锁飞	nr:1,
锁麟囊	n:3,
锂	Ng:3,n:10,
锂业	n:1,
锃亮	z:5,
锄	v:7,Ng:3,
锄头	n:16,
锄强扶弱	l:1,
锄草	v:6,
锄草机	n:1,
锅	q:10,n:72,
锅台	n:1,
锅子	n:2,
锅底状	n:1,
锅灶	n:2,
锅炉	n:37,
锅炉厂	n:3,
锅炉房	n:8,
锅炉界	n:1,
锅盖	n:2,
锅碗瓢盆	l:1,
锅贴	n:1,
锅边糊	n:1,
锅铲	n:2,
锆包壳	n:1,
锈	v:4,n:1,
锈损	v:1,
锈病	n:1,
锈蚀	v:5,vn:1,
锈迹	n:8,
锈钉	n:1,
锉	n:1,
锋	Ag:1,Ng:7,
锋利	a:2,
锋波	nr:1,
锋线	n:15,
锋芒	n:10,
锋芒所向	i:1,
锋芒毕露	i:3,
锌	n:17,
锌业	nz:2,
锌业股份	nt:2,
锌基	n:1,
锌维全神果	nz:3,
锐	Ag:5,a:1,
锐不可当	i:1,
锐减	v:45,vn:3,
锐利	a:15,
锐意	d:23,
锐意进取	l:27,
锐步	nz:2,
锐气	n:9,
锐降	v:1,
锑	Ng:5,
锑矿	n:2,
锑矿石	n:1,
锒铛入狱	i:7,
锗	n:2,
错	v:128,a:2,n:39,vd:20,vn:3,
错乱	a:1,an:1,
错事	n:8,
错位	v:12,vn:6,
错体	v:1,
错作	v:1,
错划	v:2,
错判	v:1,vn:1,
错判案	n:2,
错别字	n:3,
错填率	n:1,
错处	n:1,
错失	v:3,
错失良机	i:1,
错字	n:8,
错开	v:3,
错怪	v:1,
错案	n:56,
错案追究制	n:3,
错漏填率	n:1,
错爱	v:1,
错码	n:1,
错简	n:1,
错综	z:3,
错综复杂	i:49,
错缝	vd:1,
错荐	v:1,
错落	v:7,vd:1,vn:1,
错落有致	i:10,
错觉	n:13,
错讹	a:1,n:1,
错话	n:1,
错误	a:182,n:311,ad:5,
错误率	n:1,
错误者	n:1,
错谬	n:1,
错过	v:26,
锚	n:4,
锚喷	v:1,
锚固	j:1,
锚地	n:3,
锚定墩	n:1,
锚张网	n:1,
锚拉式	b:1,
锚泊点	n:1,
锚索	j:6,
锚缆	n:3,
锡	n:9,j:4,
锡业	n:2,
锡乌	ns:1,
锡伯	nz:2,
锡伯族	nz:6,
锡兰	ns:1,
锡养堂	n:1,
锡剧	n:1,
锡华	nz:2,
锡华未来教育实业股份有限公司	nt:1,
锡城	ns:1,
锡山	ns:6,
锡山市	ns:26,
锡山市利农村党支部	nt:1,
锡山市委	nt:1,
锡山市洛社镇党委	nt:1,
锡山市科委	nt:1,
锡山市第一建筑工程机械厂	nt:1,
锡山粮食局	nt:1,
锡张	nz:1,
锡张农场	ns:1,
锡德里克·托内伊	nr:1,
锡拉特市	ns:1,
锡朱德	ns:2,nz:1,
锡朱德总统府	ns:1,
锡林郭勒	ns:5,
锡林郭勒大草原	ns:1,
锡林郭勒盟	ns:6,
锡林郭勒盟盟委	nt:2,
锡林郭勒草原	ns:3,
锡永	ns:1,
锡珠	nz:1,
锡瓦·克沙万	nr:1,
锡盟	j:4,
锡盟罕克拉	ns:1,
锡盟罕克拉公社	nt:1,
锡盟苏尼特左旗巴彦德力格尔嘎查党支部	nt:1,
锡矿	n:2,
锡矿山	n:1,
锡箔	n:1,
锡耶纳	ns:1,
锡耶那一	ns:1,
锡金	ns:1,
锡铁山	ns:3,
锡铁山二矿	nt:2,
锣	n:7,
锣声	n:2,
锣鼓	n:24,
锣鼓喧天	i:6,
锣鼓声	n:11,
锣鼓队	n:2,
锤	q:1,Ng:19,
锤声	n:1,
锤子	n:7,
锤炼	v:16,vn:3,
锥	v:2,Ng:2,
锥体	n:2,
锥子	n:4,
锥形	n:1,
锥形帽	n:1,
锥齿轮	n:1,
锦	Ag:3,Ng:9,
锦上添花	i:11,
锦功	n:1,
锦化	j:2,
锦华	nz:13,
锦华公司	nt:4,
锦囊	n:3,
锦城	ns:2,
锦城苑	ns:1,
锦夏	nz:1,
锦官城	ns:1,
锦宴	n:1,
锦屏	ns:1,nz:1,
锦屏化工厂	nt:1,
锦州	ns:32,
锦州一职高	nt:1,
锦州中百商厦	nt:1,
锦州六陆	nt:3,
锦州市	ns:24,
锦州市交警支队	nt:1,
锦州市交通警察支队	nt:1,
锦州市人大常委会	nt:2,
锦州市太和二建公司	nt:1,
锦州市纪委	nt:1,
锦州战役	nz:2,
锦州湾	ns:2,
锦州石化	nt:2,
锦州边防检查站	nt:1,
锦州铁路分局	nt:2,
锦心绣口	i:1,
锦旗	n:55,
锦标	n:6,
锦标赛	n:298,vn:3,
锦江	ns:5,nz:7,
锦江乐园	ns:2,
锦江寻呼台	nt:1,
锦江畔	ns:1,
锦江集团	nt:1,
锦沧	nz:1,
锦沧文华大酒店	ns:1,
锦涛	nr:1,
锦溪	ns:1,
锦盒	n:2,
锦纶	nz:1,
锦绣	b:13,n:2,
锦绣前程	i:3,
锦绣江山	i:1,
锦绣河山	i:2,
锦绣谷	ns:1,
锦缎	n:1,
锦葵花	n:1,
锦西	ns:5,
锦西炼油化工总厂	nt:1,
锦鳞	n:1,
锦（州）	ns:1,
锦（州）阜（新）公路	nz:1,
锨	Ng:1,n:6,
锨把	n:1,
锭	q:51,Ng:12,
锭子	n:8,
键	Ng:1,n:4,
键入	v:2,
键板	n:1,
键盘	n:16,
键钮	n:1,
锯	v:12,n:1,
锯刀	n:1,
锯口	n:1,
锯子	n:1,
锯末	n:1,
锯机	n:1,
锯条	n:2,
锯片	n:1,
锯蛋白	n:7,
锯齿	n:3,
锰	n:9,
锰矿	n:3,
锰矿砂	n:1,
锱铢必较	l:1,i:1,
锲而不舍	i:34,
锶	Ng:4,
锹	q:4,n:10,
锹镐柄	n:1,
锺书	nr:2,
锻	Vg:1,
锻件	n:1,
锻压	n:2,vn:1,
锻工	n:1,
锻打	vn:1,
锻炼	v:187,vn:122,
锻炼法	n:14,
锻炼者	n:2,
锻造	v:8,vn:3,
镀	v:14,
镀膜	n:6,
镀膜钛	n:3,
镀金	v:4,vn:4,
镀锡板	n:1,
镀镀	v:1,
镁	n:4,
镁光灯	n:1,
镁砂厂	n:1,
镂刻	v:1,vn:1,
镂嵌	v:1,
镂空	v:1,vn:1,
镂花	vn:1,
镂雕	n:1,
镇	v:2,n:379,
镇上	s:4,n:35,
镇企	j:1,
镇住	v:3,
镇公所	n:1,
镇北堡	ns:1,
镇区	s:3,n:21,
镇南小学	nt:2,
镇压	v:25,vn:4,
镇原	ns:1,
镇原县	ns:1,
镇国寺	ns:1,n:1,
镇委	n:9,
镇委会	n:1,
镇子	n:1,
镇子梁乡	ns:2,
镇宁	ns:2,
镇安县	ns:3,
镇定	a:5,vn:1,
镇定剂	n:1,
镇定自若	i:1,
镇宫	n:1,
镇容	n:1,
镇巴县	ns:1,
镇巴县人	n:1,
镇平	ns:1,
镇平县	ns:2,
镇康县	ns:1,
镇政府	n:38,
镇江	ns:24,
镇江人	n:2,
镇江军分区	nt:1,
镇江市	ns:11,
镇江市公安局	nt:2,
镇江市委	nt:1,
镇江市政府	nt:1,
镇江市音响设备厂	nt:1,
镇江福利院	nt:1,
镇流	vn:1,
镇流器	n:2,
镇海	ns:27,
镇海人	n:1,
镇海寺	ns:4,
镇海村	ns:2,
镇海港	ns:1,
镇海炼化	nt:15,
镇海炼化公司	nt:5,
镇海炼化股份公司	nt:1,
镇海炼油化工股份有限公司	nt:1,
镇痛	v:4,vn:7,
镇痛剂	n:2,
镇直	j:1,
镇赉县	ns:1,
镇远县	ns:1,
镇里	s:1,n:20,
镇镇	n:2,
镇长	n:30,
镇隆村	ns:1,
镇静	an:2,a:8,
镇静药	n:1,
镉	Ng:3,n:1,
镌	Vg:3,
镌刻	v:28,vn:1,
镍	n:7,
镍价	n:1,
镍币	n:1,
镍氢	n:1,
镍都	n:2,
镐	Ng:7,n:2,
镐头	n:6,
镑	q:7,
镖	n:1,
镜	Ng:23,
镜匾	n:15,
镜头	n:134,
镜头感	n:1,
镜子	n:43,
镜屏	n:1,
镜平	ns:1,
镜平小学	nt:1,
镜报	n:1,
镜春园	ns:1,
镜架	n:1,
镜框	n:5,
镜框费	n:1,
镜泊湖	ns:6,
镜湖	nz:1,
镜湖医院慈善会	nt:1,
镜片	n:8,
镜真楼	ns:1,
镜花岭	ns:1,
镜鉴	n:1,
镜面	n:2,
镞	Ng:1,
镢头	n:2,
镣铐	n:1,
镭	n:2,
镭射标	nz:1,
镯子	n:1,
镰	Ng:4,
镰仓幸子	nr:1,
镰刀	n:22,
镰刀形	n:1,
镶	v:25,
镶嵌	v:37,vn:3,
镶嵌画	n:2,
长	v:271,d:3,an:3,Ng:70,a:1365,ad:36,j:10,k:3,
长一智	l:1,
长三	j:2,
长三丙	j:2,
长三乙	nz:1,j:8,
长三甲	j:12,
长三角	nz:7,
长三角书报刊市场	ns:1,
长三角文化市场	ns:2,
长丝	n:1,
长中短篇	j:1,
长丰	nz:2,
长丰县	ns:2,
长丰集团	nt:2,
长久	an:1,a:66,ad:17,
长久性	n:1,
长乐市	ns:2,
长二丙	j:3,
长二捆	j:5,
长于	v:1,
长亭	ns:1,
长传	n:3,vn:1,
长住	v:2,vn:2,
长信	nz:1,j:1,
长假	n:5,
长兄	n:1,
长兴	ns:2,
长兴县	ns:1,
长凳	n:2,
长剑	n:2,
长剧	n:1,
长动	nz:1,
长势	n:29,
长印	nz:1,j:1,
长印股份	nt:1,
长卷	n:14,
长发	n:5,
长发镇	ns:1,
长台	ns:1,
长叹	v:6,vn:1,
长吁短叹	i:1,
长命百岁	l:2,
长啸	v:2,
长啸贯林	l:1,
长嘴	n:1,
长坂坡	ns:1,
长坪镇	ns:1,
长垣	ns:3,
长城	ns:267,n:3,nz:5,
长城一号	nz:1,
长城人	n:1,
长城公司	nt:5,
长城博物馆	ns:1,
长城卡	n:2,
长城国际传播有限公司	nt:1,
长城国际体育传播有限公司	nt:1,
长城宾馆	ns:1,
长城杯	nz:1,
长城润滑油集团	nt:1,
长城润滑油集团公司	nt:1,
长城润滑油集团有限公司	nt:1,
长城湾	ns:1,
长城特殊钢公司	nt:2,
长城特钢	nt:2,
长城特钢集团	nt:1,
长城电子有限公司	nt:1,
长城电脑	nt:1,
长城站	ns:3,n:18,
长城葡萄酒有限公司	nt:2,
长城镇	ns:1,
长城集团	nt:1,
长城鞋业公司	nt:1,
长城饭店	ns:5,
长城高级润滑油公司	nt:1,
长城７９１Ｎ	nz:1,
长堤	n:1,
长堤路	ns:1,
长处	n:52,
长夜	n:7,
长大	v:107,
长大成人	l:12,
长大成材	l:1,
长天	n:1,nz:1,
长头	n:1,
长女	n:16,
长威	nz:1,
长威电子有限公司	nt:1,
长子	ns:1,n:19,
长子县	ns:2,
长存	v:12,vn:1,
长孙	nr:2,
长宁	ns:4,
长宁区	ns:13,
长宁区支行	nt:1,
长宁县	ns:1,
长宁置业服务有限公司	nt:1,
长安	ns:8,n:2,nz:21,
长安乡	ns:4,
长安信息	nt:1,
长安俱乐部	nt:1,ns:1,
长安县	ns:2,
长安商场	ns:2,nz:1,
长安商场空调销售中心	nt:1,
长安城	ns:9,
长安大戏院	ns:7,
长安大街	ns:1,
长安果菜批发市场	nt:1,
长安汽车	nt:1,
长安牌	nz:1,
长安航空公司	nt:1,
长安街	ns:25,
长安镇	ns:2,
长安镇政府	nt:1,
长官	n:150,
长寿	v:1,ns:4,an:12,a:36,
长寿县	ns:3,
长寿路	ns:1,
长寿面	n:2,
长屋王	nr:1,
长山村	ns:1,
长山街	ns:1,
长岗岭	ns:1,
长岛	ns:2,n:1,
长岛县	ns:2,
长岛善雄	nr:1,
长岭	ns:16,nz:4,
长岭公司	nt:2,
长岭县	ns:1,
长岭县广太乡三合堡村党支部	nt:1,
长岭圣方计算机公司	nt:1,
长岭岗乡	ns:1,
长岭炼油化工总厂党委	nt:1,
长岭炼油化工总厂长盛石化公司	nt:1,
长岭集团	nt:1,
长岭集团公司	nt:1,
长岭Ａ	nz:1,
长崎	ns:6,
长崎县	ns:5,
长工	n:4,
长平乡	ns:1,
长年	d:58,
长年累月	i:4,
长幼有序	i:1,
长庆	ns:4,nz:1,
长庆油田	nt:1,
长度	n:36,
长座	n:1,
长廊	n:39,
长影	j:32,
长影乐团	nt:1,
长影厂	j:2,
长征	v:24,n:94,nz:28,vn:8,
长征一号	nz:8,
长征三号	q:1,nz:16,
长征三号乙	nz:16,
长征三号甲	nz:9,
长征三号Ａ	nz:1,
长征三号Ｂ	nz:1,
长征二号	nz:7,
长征二号丁	nz:5,
长征二号丙	nz:30,
长征二号捆	nz:7,
长征二号Ｅ	nz:1,
长征出版社	nt:2,
长征四号	nz:4,
长征四号乙	nz:1,
长征电器	nt:1,
长征Ａ	nz:5,
长恨歌	n:1,
长成	v:14,
长抽短吊	l:1,
长效	b:8,a:3,n:4,
长文	n:8,
长方体	n:1,
长方形	n:11,
长明	vn:1,
长明灯	n:5,
长春	ns:170,n:1,
长春一汽	nt:2,
长春一汽集团	nt:1,
长春中医学院	nt:1,
长春中医院附属医院	nt:1,
长春人	n:1,
长春佳林实业集团	nt:1,
长春兰宝	nt:3,
长春内陆港	ns:1,
长春北方五环队	nt:3,
长春园	ns:1,
长春国贸大厦	ns:1,
长春国际商业中心	nt:1,
长春地质学院	nt:1,
长春大学	nt:1,
长春大学特教学院	nt:2,
长春客车制造厂	nt:1,
长春客车厂	nt:2,
长春工学院	nt:1,
长春市	ns:69,
长春市儿童医院	nt:1,
长春市公安局交警支队	nt:1,
长春市再就业服务中心	nt:2,
长春市冰上基地队	nt:1,
长春市华福出租汽车公司	nt:1,
长春市南湖公园	ns:1,
长春市双阳水泥厂	nt:1,
长春市委	nt:1,
长春市就业服务局	nt:2,
长春市工商局	nt:1,
长春市建设广场派出所	nt:1,
长春市总工会	nt:2,
长春市政协	nt:1,
长春市科学社会主义学会	nt:1,
长春市陶瓷厂	nt:1,
长春机场	ns:2,
长春村	ns:1,
长春桥	ns:1,
长春欧亚商都	nt:1,
长春气象仪器厂	nt:1,
长春汽车制造厂	nt:1,
长春汽车城百货大楼	ns:1,
长春沟村	ns:1,
长春火车站	ns:2,
长春物理研究所	nt:1,
长春电影制片厂	nt:5,
长春电视台	nt:2,
长春百货大楼股份有限公司	nt:1,
长春税务学院	nt:1,
长春站	ns:5,
长春第一汽车制造厂动力处	nt:1,
长春第一汽车制造厂计划处	nt:1,
长春第一汽车制造厂计划科	nt:1,
长春车站	ns:4,
长春道	ns:1,
长春金赛药业有限责任公司	nt:1,
长春长铃	nt:1,
长春高新	nt:2,
长春齿轮厂	nt:1,
长智	nz:1,
长期	d:906,b:625,an:1,a:2,n:2,
长期以来	l:241,
长期化	v:1,n:2,vn:1,
长期性	n:32,
长期班	n:1,
长机	n:3,
长条	n:6,
长林	nr:1,
长林乡	ns:1,
长枪	n:3,
长桌	n:8,
长梁乡	ns:1,
长梁山	ns:2,
长椅	n:4,
长歌当哭	i:1,
长歌当啸	l:1,
长此下去	l:1,
长此以往	i:16,
长武县	ns:1,
长毛	b:1,
长毛兔	n:3,
长氏	nr:1,
长水	ns:1,
长水村	ns:1,
长汀	ns:1,
长汀县	ns:1,
长汀县委	nt:1,
长江	ns:549,
长江三峡	ns:25,
长江三峡地区	ns:4,
长江三峡工程	nz:9,
长江三峡水利枢纽	nz:1,
长江三峡水利枢纽工程	nz:2,
长江三角洲	ns:8,
长江三角洲地区	ns:4,
长江中下游地区	ns:3,
长江中下游平原	ns:1,
长江二号	nz:1,
长江农业集团	nt:1,
长江口	ns:2,
长江口航道建设有限公司	nt:2,
长江基建集团	nt:1,
长江基建集团有限公司	nt:1,
长江大堤	nz:9,
长江大桥	nz:1,
长江头	n:1,
长江局	n:1,
长江投资	nt:1,
长江文艺出版社	nt:1,
长江村	ns:6,n:1,
长江村人	n:1,
长江村党委	nt:1,
长江水上运输检察院	nt:1,
长江水利委员会	nt:3,
长江水利委员会建筑设计研究所	nt:1,
长江水利委员会水文局	nt:2,
长江水利委员会监理部	nt:1,
长江流域	ns:13,
长江航务管理局	nt:1,
长江航运管理局	nt:1,
长江航运集团	nt:1,
长江航道局	nt:1,
长江航道局黄石大桥航道站	nt:1,
长江计算机集团	nt:2,
长江路	ns:7,
长江轮船海外旅游总公司	nt:2,
长江轴承	nt:1,
长江防总	nt:2,
长江防汛总指挥部办公室	nt:1,
长江黄广大堤	nz:1,
长池	n:1,
长沙	ns:199,
长沙东塘百货股份有限公司	nt:1,
长沙九芝堂集团公司	nt:1,
长沙人	n:3,
长沙卷烟厂	nt:1,
长沙县	ns:5,
长沙县工商联	nt:1,
长沙县路口镇石门村党支部	nt:1,
长沙友谊集团公司	nt:1,
长沙友谊集团有限公司	nt:1,
长沙国防科技大学	nt:1,
长沙城	ns:1,
长沙妇联	nt:1,
长沙尔布	nr:1,
长沙市	ns:91,
长沙市东区人武部	nt:1,
长沙市东区妇女收容所	nt:1,
长沙市中山商业集团股份有限公司	nt:1,
长沙市五一路芙蓉宾馆	ns:1,
长沙市人民法院	nt:1,
长沙市公安局	nt:1,
长沙市公安局交警支队	nt:1,
长沙市公安局交警支队党委	nt:1,
长沙市公安局治安支队	nt:1,
长沙市公安局雨花区分局	nt:1,
长沙市北斗星商厦	ns:1,
长沙市卫生局药政科	nt:1,
长沙市地税局	nt:1,
长沙市坪塘劳改支队	nt:1,
长沙市培罗蒙服装有限公司	nt:1,
长沙市天英实验小学	nt:1,
长沙市妇联	nt:1,
长沙市委	nt:4,
长沙市岳麓区委	nt:1,
长沙市政府	nt:1,
长沙市星火实业公司	nt:1,
长沙市望城县人武部	nt:1,
长沙市望岳小学	nt:1,
长沙市望月村第二小学	nt:1,
长沙市望月第二小学	nt:1,
长沙市水力资源勘测局	nt:1,
长沙市治安大队	nt:1,
长沙市湘春路小学	nt:1,
长沙市纪委	nt:1,
长沙市纺织工业总公司	nt:2,
长沙市芙蓉区人民法院	nt:1,
长沙市高桥市场	ns:1,
长沙新华汽修厂	nt:1,
长沙有色金属设计院	nt:1,
长沙望岳小学	nt:1,
长沙汽车灯具厂	nt:1,
长沙汽车电器厂	nt:1,
长沙站	nt:1,
长沙纺织再就业服务中心	nt:1,
长沙路	ns:1,
长沙远大公司	nt:1,
长沙铁路公司株洲地区工委	nt:1,
长沙铁路总公司长沙客运段	nt:1,
长沙阿波罗商业城	nt:1,
长河	ns:3,n:29,
长治	ns:10,
长治久安	i:48,
长治人民医院宣教科	nt:1,
长治分局	nt:2,
长治县	ns:1,
长治市	ns:14,
长治市人民医院	nt:2,
长治市人民医院下乡医疗队	nt:1,
长治市农业局	nt:1,
长治市医院	nt:1,
长治市委	nt:1,
长治征稽分局	nt:1,
长治殡仪馆	nt:1,
长波	n:3,
长泰	ns:2,
长泰县	ns:3,
长泰县委宣传部	nt:1,
长洲北帝庙	ns:1,
长洲北帝庙游乐场	ns:1,
长活	n:1,
长流	v:1,
长流水	v:1,n:4,
长海县	ns:1,
长涝池村	ns:1,
长涪	j:1,
长淮	ns:1,
长清县	ns:4,
长清镇	ns:2,
长清镇粮所	nt:1,
长游	j:1,
长湖	ns:5,
长湾	ns:1,
长满	v:1,
长滩	ns:2,n:1,
长滩峡	ns:2,
长漂	j:1,
长生	v:1,nr:4,a:1,
长生不老	i:1,
长生塔	n:1,
长白	ns:10,
长白参	n:1,
长白山	ns:14,
长白山区	ns:3,
长白猪	n:1,
长百	nz:2,
长百集团	nt:2,
长盛	nz:1,
长盛不衰	l:9,
长相	n:8,
长眠	v:22,vn:1,
长矛	n:2,
长短	n:25,
长短期	b:2,
长短枪	n:1,
长短途	b:1,
长石岭	ns:1,
长空	n:11,
长空一号	nz:2,
长笛	n:1,
长管状	n:1,
长篇	b:111,n:3,
长篇卷	n:1,
长篇大论	i:4,
长篇小说	l:138,
长线	n:5,
长线产品	n:1,
长绳	n:1,
长编	n:1,
长翎	n:1,
长翼	n:1,
长老	n:1,
长老塔	ns:1,
长者	n:15,
长者团	n:1,
长胜村	ns:1,
长胫	n:1,
长臂猿	n:7,
长舒广袖	l:1,
长航	nz:3,j:9,
长航管理局	nt:3,
长航管理局党委	nt:2,
长航集团	nt:4,
长荣	nz:2,
长葛	ns:17,
长葛市	ns:6,
长葛市委	nt:1,
长葛市委办公室	nt:1,
长葛市老城镇党委	nt:1,
长葛职高	nt:1,
长虫	n:5,
长虹	n:3,nz:60,
长虹公司	nt:2,
长虹公司驻湖南省永州市冷水滩区联络处	nt:1,
长虹天龙大酒楼	ns:1,
长虹家电城	nt:1,ns:1,
长虹技术中心大厦	ns:1,
长虹机器厂	nt:1,
长虹桥	n:1,
长虹电器集团股份公司	nt:1,
长虹电子集团公司	nt:1,
长虹科技公司	nt:1,
长虹集团	nt:6,
长蛇阵	n:1,l:3,
长街	n:15,
长衣	n:3,
长衫	n:5,
长衫族	n:1,
长袍	n:6,
长袖	n:5,
长袖者	n:1,
长裙	n:6,
长裤	n:2,
长诗	n:22,
长话	j:8,
长话局	n:1,
长话市话	j:1,
长话短说	i:2,
长话线	j:1,
长话费	n:7,
长调	n:1,
长谈	v:2,n:2,
长谷川	nr:2,
长谷部亮平	nr:1,
长赋	n:1,
长足	a:100,ad:2,vn:1,
长跑	v:8,vn:40,
长跑节	n:3,
长跑赛	n:1,vn:2,
长跑队	n:2,
长距离	d:4,
长路	nr:9,
长踞	v:1,
长辈	n:21,
长辛店	ns:1,
长达	v:3,
长进	n:1,vn:2,
长远	v:1,d:1,t:1,an:62,a:331,n:12,ad:18,
长远型	n:1,
长远性	n:1,
长途	d:4,b:84,n:2,
长途汽车	l:15,
长途汽车站	n:5,
长途电话	n:1,l:36,
长途票	n:1,
长途费	n:1,
长途跋涉	i:11,
长途车	n:2,
长逝	v:1,
长野	ns:184,nr:2,
长野人	n:4,
长野冬奥会	nz:1,
长野冬奥会组委会	nt:8,
长野冬奥会选手村	ns:1,
长野县	ns:3,
长野地方法庭	nt:1,
长野地方法院	nt:1,
长野市	ns:8,
长野市政府	nt:1,
长野组委会	nt:1,
长野运动公园体育场	ns:1,
长钢	n:1,
长铃	nz:1,
长银	nz:1,
长银国际公司	nt:1,
长镜头	n:4,
长长	v:1,d:1,a:2,z:7,
长长地	z:1,
长长的	z:59,
长阁村	ns:1,
长阁村造纸厂	nt:1,
长队	n:2,
长阳	ns:7,
长阳县	ns:1,
长阳歌舞团	nt:1,
长隧	n:3,
长青	an:1,a:4,nz:1,
长青实业公司	nt:1,
长青林	n:1,
长青树	n:1,
长鞭	n:1,
长项	n:2,
长须	n:2,
长颈鹿	n:11,
长风	n:4,nz:3,
长风公园	ns:1,
长驱	v:3,
长驱直入	i:5,
长鲲号	nz:2,
长鸣	v:9,
