@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
骧	Vg:1,
骨	Ng:27,
骨伤	n:4,
骨伤病	n:3,
骨关节	n:1,
骨刺	n:1,
骨化	v:1,
骨器	n:2,
骨囊肿	n:1,
骨坏死	n:2,
骨坏死病	n:1,
骨头	n:22,
骨子里	s:1,n:4,
骨密度	n:1,
骨干	n:317,
骨干网	n:5,
骨性	n:1,
骨折	v:22,vn:11,
骨木	n:1,
骨朵	n:1,
骨材	n:1,
骨架	n:15,
骨气	n:6,
骨灰	n:52,
骨灰堂	n:1,
骨灰盒	n:10,
骨牌	n:2,
骨疏松症	n:1,
骨病	n:4,
骨瘦如柴	i:1,
骨癌	n:4,
骨盆	n:2,
骨科	n:9,
骨纤维	n:1,
骨组织	n:1,
骨结核	n:1,
骨肉	n:10,
骨肉相残	i:2,
骨肉相连	i:1,
骨脆性	n:1,
骨节	n:1,
骨董	n:1,
骨血	n:1,
骨质	vn:1,n:8,
骨质增生	n:3,
骨质疏松症	n:9,
骨里	s:2,
骨量	n:3,
骨针	n:1,
骨骼	n:22,
骨髓	n:12,
骨髓库	n:1,
骨髓灰质炎	n:2,
骨髓炎	n:5,
骨髓瘤	n:2,
骷髅	n:1,
骸骨	n:1,
髋关节	n:1,
髌骨	n:1,
高	a:5009,ad:100,nr:629,d:2,v:159,Ng:22,j:5,an:15,
高一	j:7,m:1,n:3,
高三	j:1,n:3,
高下	n:17,
高不可攀	i:3,
高不成低不就	i:1,
高专	j:1,
高个	n:4,
高个儿	n:1,
高个子	n:2,
高中	nr:19,v:1,n:178,
高中低档	j:2,
高中层	j:1,
高中收入	j:1,
高中档	b:2,j:3,
高中版	n:2,
高中生	n:11,
高中级	b:25,j:15,
高中组	n:1,
高中部	n:4,
高丽	nr:1,nz:1,
高丽参	n:1,
高举	v:432,vn:1,
高义	nr:1,
高乔人	n:1,
高二	j:1,m:1,n:1,
高于	v:250,
高亢	a:16,v:1,
高产	b:114,v:6,vn:2,n:4,
高产年	n:2,
高产点	n:1,
高产田	n:10,
高人	n:7,
高人一等	i:3,
高人一筹	i:2,
高价	d:15,n:33,
高价生	n:1,
高价票	n:1,
高估	v:3,vn:1,
高位	b:1,n:24,
高位池	n:2,
高低	a:1,nr:1,n:104,
高低压	n:1,
高低型	n:1,
高低杠	n:11,
高低贵贱之分	l:3,
高保真	l:7,
高倍	b:1,
高傲	a:5,
高僧	n:10,
高六房	ns:1,
高兴	a:657,ad:1,an:22,
高兴劲	n:2,
高兴处	n:1,
高冈	nz:1,
高出	v:2,
高出一筹	i:14,
高分	n:2,
高分子	n:6,
高利	d:3,n:1,
高利率	n:1,
高利贷	n:11,
高利贷式	b:1,
高利贷者	n:1,
高力	nz:2,
高加索	ns:3,
高勒木特	nz:2,
高升	nr:1,ns:3,v:2,
高升村	ns:1,
高升镇	ns:14,
高华	nr:3,
高危	a:2,b:4,
高压	b:1,n:73,
高压包	n:3,
高压区	n:1,
高压柜	n:5,
高压氧	n:6,
高压界	n:5,
高压线	n:5,
高压脊	n:1,
高压锅	n:5,
高原	nr:1,n:331,
高参	n:2,
高发	b:8,
高发区	n:6,
高古曼妙	a:1,
高句丽	ns:1,
高台	ns:2,n:1,
高台县	ns:1,
高呼	v:18,
高品位	n:1,
高品武彦	nr:1,
高唐	ns:1,
高唐县	ns:1,
高唱	v:10,
高喊	v:12,
高地	n:35,
高坑田	n:1,
高坡	n:8,
高坨	ns:1,
高坪	ns:1,
高坪区	ns:2,
高城	ns:1,
高城镇	ns:1,
高堂	n:2,
高堂邃宇	l:1,
高堡乡	ns:2,
高填土路基	n:1,
高填方涵洞	n:2,
高塬	n:1,
高墙	n:10,
高增值	b:4,
高墩台	n:1,
高士	n:1,
高声	d:15,nz:2,
高处	s:21,
高大	a:92,
高天行云	l:1,
高头大马	n:1,
高头讲章	l:2,
高奏	v:1,
高妙	an:1,
高娃	nr:7,
高官	n:17,
高官厚禄	l:1,
高家湾	ns:1,
高密	a:2,ns:1,
高密市	ns:4,
高密镇	ns:2,
高寒	a:1,b:35,
高寿	nr:10,
高小	n:7,
高小生	n:1,
高尔克	ns:3,
高尔基	nr:6,
高尔基市	ns:1,
高尔基路	ns:2,
高尔夫	n:6,
高尔夫球	n:21,
高尔夫球会	n:2,
高尔夫球场	n:10,
高尔夫球赛	n:3,
高尚	a:181,ns:1,an:3,
高尚品	nz:1,
高层	n:190,
高层次	n:8,
高居	v:4,
高屋建瓴	i:13,
高山	nr:1,nz:2,n:66,
高山仰止	i:3,
高山族	nz:14,
高山榕	n:6,
高山流水	i:3,
高山湖	n:1,
高山铺	ns:1,
高岩村	ns:1,
高岭土	n:1,
高峰	nr:5,n:127,
高峰乡	ns:3,
高峰会	n:4,
高峰期	n:25,
高峰村	ns:1,
高州	ns:4,
高工	j:2,n:3,
高差叠落	l:1,
高帮	nz:1,
高帽	n:7,
高干	n:1,
高平	ns:3,
高平市	ns:1,
高年级	n:7,
高庙	ns:1,
高庙村	ns:1,
高度	a:1,b:2,ad:1,d:1102,n:359,
高度化	v:3,
高度层	n:1,
高度自治权	n:1,
高弟	n:1,
高强	a:3,
高徒	n:2,
高德	nz:1,
高德年	nr:5,
高怀	nr:1,
高性能	n:38,
高息	n:28,
高息揽存	l:13,
高悬	v:3,
高感	b:1,
高感光度	n:1,
高成	nr:2,
高手	n:65,
高才生	n:1,
高打	v:1,
高扬	v:12,
高技术化	v:1,vn:2,
高技术司	n:3,
高抗	v:1,
高抬贵手	i:4,
高招	n:9,
高挑	a:3,
高排	nr:1,
高攀	v:1,
高支	j:1,n:5,
高支纱	n:1,
高收入者	n:13,
高效	a:5,b:350,d:16,z:1,
高效化	v:1,vn:1,
高效率	n:5,
高效益	n:25,
高教	j:44,
高教委	j:1,
高教法	j:4,
高教部	nt:1,j:3,n:2,
高文	nr:3,
高新	j:4,nz:2,
高新产业	n:1,
高新产品	n:4,
高新区	n:41,
高新技术	n:614,
高新科技	n:15,
高昂	a:37,an:1,
高昌	ns:3,
高明	a:20,ns:1,nz:2,an:1,
高明市	ns:3,
高智能化	vn:1,
高更	nr:1,
高朋满座	i:1,
高木甲布	nr:1,
高杆	n:1,
高材生	n:11,
高村乡	ns:1,
高村正彦	nr:3,
高枕无忧	i:9,
高林	nr:2,
高林村镇	ns:1,
高架	b:1,vn:3,n:3,
高架桥	n:15,
高架路	n:6,
高架道路	n:2,
高某	nr:3,
高标	n:3,
高标准	d:2,
高校	j:579,n:2,
高档	a:1,b:116,
高档化	v:1,
高桥	ns:12,nz:3,
高桥国男	nr:1,
高桥堰村	ns:1,
高桥温	nr:1,
高桥镇	ns:7,
高检	j:11,
高检院	j:8,
高棉	ns:47,
高棠	nr:6,
高楼	n:47,
高楼大厦	i:16,
高歌	v:10,
高歌猛进	l:1,
高比	b:1,nr:1,
高比例	n:1,
高氏	nr:3,
高氧水	n:1,
高汉	nr:3,
高法	j:8,
高洁	a:11,
高活性	b:2,
高浓度	b:4,n:1,
高涧	ns:1,
高涨	a:67,v:1,an:5,
高淮	nr:1,
高深	a:5,an:1,
高深莫测	i:3,
高温	n:75,
高温假	n:1,
高温区	n:1,
高温多雨	l:1,
高温带	n:1,
高渺	a:1,
高湿	n:1,
高溪村	ns:1,
高潮	nr:12,n:252,
高潮期	n:2,
高潮线	n:1,
高潮迭起	l:12,
高炉	n:20,
高炮	n:3,
高炮团	n:3,
高炮旅	n:9,
高点	n:2,
高烧	v:1,n:13,
高热	n:1,
高照	v:1,
高田	ns:3,
高田乡	ns:5,
高田勇	nr:5,
高盛	nr:1,nz:1,
高瞻远瞩	i:46,
高矗	v:1,
高知	j:1,
高矮	n:3,
高硕	a:1,
高碑店	ns:2,
高碑店市	ns:4,
高科	j:7,nz:2,
高科技化	v:2,vn:1,
高程	n:14,
高空	s:31,n:1,
高空作业	l:4,
高等	b:118,
高等学校	l:102,n:2,
高等教育	l:259,
高等教育法	n:34,
高等级	b:9,
高等院校	n:73,
高筒	b:1,n:1,
高粱	n:18,
高粱米	n:2,
高粱酒	n:2,
高精尖	b:1,j:6,
高精度	n:1,
高素质	n:40,
高红	nr:2,ns:1,
高红村	ns:3,
高级	a:693,b:2,
高级中学	l:2,
高级化	v:5,vn:3,
高级品	n:1,
高级社	n:2,
高纬度	n:1,
高维	n:1,
高罗佩	nr:1,
高美施	nz:1,
高翔	nr:1,
高考	v:38,vn:71,n:2,
高者	n:1,
高耗能	n:4,
高耸	v:10,
高耸入云	l:4,
高职	n:3,
高能	b:9,
高能所	n:3,
高能效	b:1,
高能物理	n:4,
高能物理所	n:3,
高能耗	n:4,
高能量	n:1,
高脚杯	n:2,
高脚楼	n:1,
高腔	n:1,
高花乡	ns:1,
高薪	n:22,
高蛋白	n:4,
高血压	n:16,
高血糖	n:2,
高血脂	n:1,
高衙内	n:1,
高要	ns:1,
高要市	ns:1,
高见	n:4,
高觉	nr:1,
高论	n:2,
高调	n:3,
高谈阔论	i:5,
高谦	nr:2,
高质	a:1,b:10,
高贵	a:37,an:2,
高超	a:56,
高足	n:3,
高跟鞋	n:2,
高路华	nz:1,
高路华牌	nz:1,
高跷	n:4,
高蹈派	n:1,
高达	nr:5,v:1,nz:2,
高迈	a:1,
高运价率	n:1,
高远	a:13,nr:1,an:1,
高迢险峻	l:1,
高迪	nr:5,
高速	b:222,d:92,nz:2,n:2,
高速公路	n:170,
高速档	n:1,
高速路	n:13,
高逾	v:1,
高邑	ns:6,
高邑县	ns:1,
高邮	ns:1,
高邮市	ns:2,
高都	ns:1,
高都镇	ns:3,
高里	nz:1,
高野	nr:4,
高野广海	nr:1,
高野纪元	nr:6,
高钒铁	n:1,
高钛型	b:1,
高银巷	ns:1,
高锰酸盐	n:7,
高锰酸钾	n:1,
高阳	ns:6,
高阳县	ns:5,
高院	j:9,
高陵	ns:2,
高陵县	ns:1,
高陵深谷	l:1,
高难	b:14,
高难度	n:3,
高雄	ns:8,
高雄市	ns:1,
高雅	a:46,an:2,
高露洁	nz:3,
高青县	ns:4,
高音	n:8,
高音区	n:2,
高领	n:2,
高频	b:2,
高额	b:31,d:2,
高风亮节	i:16,
高风险	n:7,
高高	a:1,d:25,z:11,
高高兴兴	z:21,
高高在上	i:17,
高高壮壮	z:2,
高高大大	a:1,z:1,
高高挂起	i:1,l:2,
高高的	z:20,
高黎贡	ns:1,
高黎贡山	ns:1,n:1,
高鼻子	n:1,
高鼻深目	l:1,
高龄	n:87,
高龄化	vn:1,
高龄者	n:1,
髯	Ng:5,
鬃	Ng:2,
鬓	Ng:2,
鬓发	n:4,
鬓角	n:2,
鬓间	s:1,
鬣	Ng:1,
鬣狗	n:1,
鬲	Ng:1,
鬻	Vg:1,
鬼	a:4,n:16,
鬼亲	n:1,
鬼使神差	i:2,
鬼天气	n:1,
鬼子	n:13,
鬼市	n:1,
鬼怪	n:2,
鬼斧神工	i:5,
鬼混	v:3,
鬼点子	n:1,
鬼神	n:4,
鬼胎	n:1,
鬼脸	n:1,
鬼话	n:2,
鬼迷心窍	i:1,
鬼门关	n:2,
鬼鬼祟祟	i:3,
魁	nr:2,
魁伟	a:1,
魁元	nr:1,
魁克	nz:1,
魁北克	ns:1,
魁北克省	ns:8,
魁夷	n:1,
魁孚	nr:3,
魁文	nr:1,
魁智	nr:3,
魁梧	a:10,
魁森	nr:1,
魁首	n:2,
魂	n:65,
魂儿	n:1,
魂兮归来	l:2,
魂斗罗	nz:1,
魂灵	n:2,
魂牵梦绕	l:7,
魂牵梦萦	l:4,
魂萦梦绕	l:1,
魂飞西天	l:1,
魂飞魄散	i:1,
魂魄	n:13,
魄	Ng:1,
魄力	n:23,
魅力	n:284,
魅力四射	l:1,
魏	Tg:5,nr:253,j:1,
魏克	nr:1,
魏公村	ns:1,
魏兰德·施密德	nr:1,
魏兹	nr:1,
魏勒	nr:14,
魏县	ns:8,
魏善庄	ns:1,
魏善庄乡	ns:1,
魏塘镇	ns:2,
魏屯乡	ns:1,
魏晋	t:10,j:3,
魏格尔	nr:4,
魏武帝	n:1,
魏玛	nz:2,
魏碑	n:2,
魏茨	ns:2,
魏茨曼	nr:15,
魏达	nr:1,
魏都区	ns:4,
魔	Ag:4,Ng:4,
魔力	n:7,
魔块	n:1,
魔岩	n:3,
魔幻	a:1,
魔幻现实主义	n:1,
魔方	n:2,
魔术	n:17,
魔术团	n:1,
魔术师	n:6,
魔术队	nt:2,
魔杖	n:2,
魔水	n:1,
魔法师	n:1,
魔爪	n:2,
魔王	n:9,
魔窟	n:3,
魔芋	n:6,
魔鞋	n:1,
魔高一丈	i:1,
魔鬼	n:6,
鱼	n:234,
鱼价	n:2,
鱼儿	n:11,
鱼儿沟	ns:1,
鱼卷	n:1,
鱼台	ns:1,
鱼台人	n:1,
鱼味	n:1,
鱼塘	n:12,
鱼塘乡	ns:1,
鱼头	n:1,
鱼尾	n:2,
鱼尾纹	n:1,
鱼市	n:7,
鱼摊	n:1,
鱼杆	n:1,
鱼梁	n:2,
鱼款	n:1,
鱼死网破	i:1,
鱼水	n:3,
鱼水情	n:4,
鱼水情浓	l:1,
鱼水情深	l:5,
鱼水深情	l:2,
鱼汛	n:1,
鱼池	n:5,
鱼汤	n:4,
鱼油	n:7,
鱼漂	n:5,
鱼片	n:1,
鱼目	n:2,
鱼目混珠	i:5,
鱼眼	n:1,
鱼禽肉蛋	j:1,
鱼种	n:5,
鱼米之乡	i:4,
鱼类	n:36,
鱼粉	n:5,
鱼缸	n:2,
鱼缸型	n:1,
鱼网	n:3,
鱼网阵	n:1,
鱼群	n:2,
鱼翅	n:2,
鱼肉	v:1,n:5,
鱼肚	n:2,
鱼腹	n:1,
鱼舱	n:1,
鱼花	n:1,
鱼苗	n:6,
鱼苗场	n:1,
鱼虫	n:3,
鱼虾	n:16,
鱼虾蟹贝	j:1,
鱼讯	n:1,
鱼贯	d:2,
鱼跃	vn:1,
鱼跃龙门	i:1,
鱼门	nr:1,
鱼雷	n:3,
鱼雷艇	n:1,
鱼饵	n:3,
鱼鳍	n:1,
鱼鳞	n:1,
鱼鹰	n:6,
鱼龙混杂	i:8,
鱿鱼	n:2,
鲁	nr:121,j:57,n:1,
鲁·路·迪亚斯	nr:1,
鲁东	nr:1,
鲁中	nz:1,
鲁丽	nr:90,
鲁伊斯	nr:4,
鲁伦	nr:1,
鲁佩	nr:2,
鲁克	nr:2,
鲁克曼	nr:2,
鲁克沁稠油	n:1,
鲁北	ns:7,nz:2,
鲁南	s:1,j:3,
鲁塞德斯基	nr:1,
鲁夸省	ns:1,
鲁家峪村	ns:1,
鲁宾	nr:87,
鲁宾·威廉斯	nr:1,
鲁宾费尔德	nr:1,
鲁尔	nz:1,
鲁山	ns:2,
鲁山县	ns:9,
鲁崂水	nz:1,
鲁弗	nr:1,
鲁彦	nr:1,
鲁彬	nr:2,
鲁戈瓦	nr:25,
鲁成	nr:9,
鲁抗	j:1,nz:1,
鲁斌	nr:1,
鲁斯兰	nr:2,
鲁斯塔克	ns:2,
鲁斯塔克镇	ns:1,
鲁昂	ns:1,
鲁普夫	nr:1,
鲁本斯	nr:1,
鲁村	ns:1,
鲁杰罗	nr:21,
鲁桥	ns:1,
鲁桥镇	ns:1,
鲁江	nr:1,
鲁滨逊	nr:3,
鲁版	j:2,
鲁班	nr:3,
鲁班奖	nz:6,
鲁维盖马	nr:1,
鲁美	j:25,
鲁肃	nr:1,
鲁能	nz:46,
鲁艺	j:55,
鲁莽	a:2,
鲁菜	n:1,
鲁西	nr:1,ns:4,nz:2,
鲁西亚努	nr:1,
鲁西南	ns:1,
鲁谷	ns:2,
鲁贝尔	nz:1,
鲁财	nr:1,
鲁贤	nr:3,
鲁赞	nr:1,
鲁迅	nr:170,
鲁迅文学奖	nz:2,
鲁迪内	nr:1,
鲁道夫·塞韦里诺	nr:1,
鲁道夫·沙尔平	nr:1,
鲁银	nz:1,
鲁闽	nr:1,
鲁青	nr:1,
鲅鱼圈	ns:1,
鲅鱼圈区	ns:3,
鲇腹	n:1,
鲇鱼	n:7,
鲈鱼	n:3,
鲍	nr:64,
鲍勃·霍顿	nr:4,
鲍卡斯	nr:3,
鲍威尔	nr:8,
鲍尔	nr:2,
鲍峡镇	ns:3,
鲍德温	nr:2,
鲍文	nr:1,
鲍林	nr:1,
鲍毕	nr:3,
鲍泰利	nr:4,
鲍谟尔	nr:2,
鲍里斯·塔拉修克	nr:1,
鲍里斯·贝克尔	nr:1,
鲍鱼	n:4,
鲑鱼	n:10,
鲛绡	n:1,
鲜	a:54,ad:6,nr:1,Ag:2,Ng:2,
鲜为人知	i:33,
鲜京	nz:2,
鲜亮	a:7,
鲜亮亮	z:1,
鲜利	nr:2,
鲜卑	n:1,
鲜味	n:1,
鲜品	n:1,
鲜奶	n:20,
鲜奶费	n:1,
鲜妍	a:1,
鲜嫩	a:10,
鲜嫩嫩	z:1,
鲜明	a:250,ad:2,
鲜明性	n:2,
鲜有	v:3,
鲜果	n:4,
鲜榨	vn:3,
鲜水河	ns:1,
鲜活	a:65,v:1,an:2,
鲜活欲滴	l:1,
鲜牛奶	n:7,
鲜红	b:1,z:32,
鲜红色	n:1,
鲜美	a:13,
鲜肉	n:9,
鲜能	v:1,
鲜艳	a:67,
鲜艳夺目	l:7,
鲜艳度	n:1,
鲜艳艳	z:1,
鲜芝	nr:1,
鲜花	n:199,
鲜花业	n:1,
鲜花丛	n:3,
鲜草	n:1,
鲜菇	n:1,
鲜菜	n:15,
鲜蛋	n:6,
鲜血	n:49,
鲜见	v:7,
鲜迭	ns:1,
鲜食	vn:1,
鲜鱼	n:10,
鲜鲜亮亮	z:1,
鲜鲜艳艳	a:1,
鲜黄	an:1,
鲢鱼	n:6,
鲤鱼	n:15,
鲤鱼打挺	i:1,l:1,
鲨胆	nr:4,
鲨鱼	n:20,
鲫鱼	n:16,
鲭江	ns:5,
鲱鱼	n:5,
鲲	nr:5,
鲲鹏	n:1,
鲶鱼	n:1,
鲷科	n:1,
鲸	Ng:6,
鲸冈兵辅	nr:1,
鲸吞	v:1,
鲸塘镇	ns:1,
鲸鱼	n:10,
鲸鲨	n:1,
鳃裂	n:1,
鳄	Ng:1,
鳄鱼	nz:2,n:9,
鳄鱼衫	n:1,
鳇	Ng:1,
鳇鱼	n:1,
鳌	nr:2,
鳌头	n:1,
鳌峰	ns:1,
鳌泉村	ns:1,
鳏寡孤独	i:4,
鳖	Ng:4,n:3,
鳖灵	nr:1,
鳖精	n:3,
鳗	Ng:1,
鳗鱼	n:11,
鳜鱼	n:2,
鳝塘村	ns:1,
鳞	n:6,
鳞屑	n:4,
鳞次栉比	i:12,
鳞片	n:1,
鳞翅目	n:1,
鳞茎	n:1,
鳟鱼	n:1,
鸟	n:134,
鸟儿	n:19,
鸟兽	n:3,
鸟协	j:3,
鸟啼	n:1,
鸟声	n:4,
鸟害	n:1,
鸟尊	n:2,
鸟居泰彦	nr:1,
鸟岛	ns:2,n:2,
鸟巢	n:8,
鸟市	n:1,
鸟枪换炮	i:1,
鸟浴	v:2,
鸟瞰	v:9,vn:1,
鸟瞰图	n:1,
鸟窝	n:4,
鸟笼	n:8,
鸟类	n:88,
鸟类学家	n:6,
鸟群	n:3,
鸟翅	n:1,
鸟语林	n:1,
鸟语花香	i:6,
鸟迷	n:19,
鸟迷们	n:1,
鸟铳	n:1,
鸟雀	n:1,
鸟音	n:1,
鸟鸣	n:6,
鸟龙	n:5,
鸠山由纪夫	nr:5,
鸠江区	ns:1,
鸡	n:158,
鸡丝	n:1,
鸡公岭村	ns:1,
鸡公车	n:1,
鸡冠	n:2,
鸡啼	n:1,
鸡场	n:17,
鸡场主	n:1,
鸡头	n:2,
鸡头梗	n:1,
鸡婆	n:1,
鸡尾酒	n:5,
鸡心	n:1,
鸡摊	n:2,
鸡毛	n:2,
鸡毛信	n:1,
鸡毛蒜皮	i:3,
鸡汤	n:2,
鸡爪爪	n:1,
鸡犬之声相闻	i:1,
鸡犬升天	i:4,
鸡皮	n:11,
鸡皮疙瘩	l:1,
鸡种	n:1,
鸡窝	n:1,
鸡窝寒	n:1,
鸡笼	n:1,
鸡粪	n:2,
鸡翅	n:1,
鸡肉	n:5,
鸡肋	n:1,
鸡舍	n:7,
鸡苗	n:2,
鸡蛋	n:65,
鸡蛋者	n:1,
鸡蛋黄	n:1,
鸡西	ns:7,
鸡西市	ns:8,
鸡雏	n:8,
鸡首	n:1,
鸡鸣	v:2,
鸢	Ng:1,
鸢尾	n:1,
鸢尾花	n:1,
鸣	Vg:39,nr:39,v:2,
鸣不平	l:5,
鸣冈	nr:1,
鸣凤镇	ns:1,
鸣叫	v:4,vn:4,
鸣吼	n:1,
鸣响	v:2,vn:3,
鸣哨	v:1,
鸣唱	v:1,
鸣啭	v:2,vn:1,
鸣声	v:1,
鸣奏	v:2,
鸣媛	nr:8,
鸣岐	nr:2,
鸣心	nr:1,
鸣放	v:2,
鸣枪	v:18,
鸣沙山	ns:8,
鸣泉	nr:1,
鸣炮	v:1,
鸣焕	nr:1,
鸣燕	nr:2,
鸣生	nr:5,
鸣禽	n:3,
鸣笛	v:9,vn:2,
鸣芝声	nz:1,
鸣谢碑	n:1,
鸣超	nr:1,
鸣金	v:2,
鸣锣开道	i:4,
鸣锣登场	l:1,
鸣门	ns:1,
鸣雁	nr:1,
鸣鞭	v:1,
鸣鸣	nr:5,
鸣鸿	nr:1,
鸥	Ng:1,
鸥种	n:1,
鸥鸟	n:1,
鸥鸣	nr:1,
鸦岭乡	ns:1,
鸦有反哺之义	i:1,
鸦片	n:23,
鸦片战争	nz:15,
鸦雀无声	i:12,
鸩	Ng:1,
鸫鸟	n:5,
鸬鹚	n:2,
鸬鹚乡	ns:1,
鸬鹚鸟	n:1,
鸭	Ng:39,n:1,
鸭嘴龙	n:2,
鸭场	n:2,
鸭子	n:14,
鸭子坝	ns:1,
鸭廊	n:1,
鸭梨	n:8,
鸭河口	ns:1,
鸭种	n:2,
鸭绿江	ns:16,
鸭绿江口	ns:4,
鸭群	n:1,
鸭肉	n:1,
鸭舌帽	n:4,
鸭蛋	n:6,
鸭鸭	nz:1,
鸳鸯	n:6,
鸳鸯松	n:1,
鸳鸯树	n:1,
鸳鸯桥	n:1,
鸵鸟	n:9,
鸵鸟场	n:1,
鸽	Ng:10,
鸽场	n:1,
鸽子	n:35,
鸽子笼	n:1,
鸽子花	n:2,
鸽市	n:1,
鸽笼	n:1,
鸽群	n:2,
鸽镇	ns:2,
鸽食	n:1,
鸾	nr:1,
鸿	nr:56,Ag:1,Ng:1,
鸿业	nr:2,
鸿举	nr:5,
鸿书	nr:1,
鸿亮	nr:1,
鸿伟	nr:3,
鸿儒	nr:3,
鸿兴	nr:3,
鸿利	nz:5,
鸿勋	nr:4,
鸿千	nr:1,
鸿图	n:2,
鸿基	nr:2,
鸿墀	nr:2,
鸿增	nr:1,
鸿宇	nz:5,
鸿宾	nr:1,
鸿尚	nr:1,
鸿岩	nr:1,
鸿年	nr:1,
鸿庥	nr:1,
鸿志	nr:5,
鸿恩	nr:1,
鸿斌	nr:6,
鸿昌	nr:1,
鸿模	nr:1,
鸿毛	n:1,
鸿江	nr:1,
鸿沟	n:1,
鸿泉	nr:1,
鸿泰	nr:1,
鸿滨	nr:1,
鸿烈	nr:9,
鸿燊	nr:5,
鸿玲	nr:1,
鸿琪	nr:2,
鸿申	nz:1,
鸿祝	nr:36,
鸿祥	nr:1,
鸿祯	nr:1,
鸿福	nr:4,n:3,
鸿禧	nz:2,
鸿章	nr:5,
鸿篇	n:2,
鸿篇巨制	i:3,l:2,
鸿羽	nz:1,
鸿翔	nz:1,
鸿英	nr:1,
鸿蒙	n:1,
鸿记鱼嘴档	nz:1,
鸿起	nr:1,
鸿辉	nr:4,
鸿达	nz:13,
鸿运	n:6,
鸿远	nr:1,
鸿钊	nr:1,
鸿铭	nr:2,
鸿雁	nr:3,n:14,
鸿雁传书	i:2,
鸿震	nr:1,
鸿飞	nr:7,
鸿鸣	nr:3,
鸿麟	nr:1,
鸿（申音）	nr:1,
鹁鸠	n:1,
鹂	nr:3,
鹄	Ng:1,
鹅	n:10,
鹅卵	n:1,
鹅卵石	n:5,
鹅掌楸	n:1,
鹅毛	n:2,
鹅毛大雪	l:5,
鹅湖	n:1,
鹅黄	b:2,
鹅黄色	n:1,
鹅鼻嘴	nz:1,
鹈鹕	n:1,
鹊	Ng:2,
鹊巢鸠占	i:1,
鹊桥	n:3,
鹊起	v:1,
鹊鹞	n:2,
鹏	nr:1596,nt:1,Ng:1,
鹏举	nr:1,
鹏九	p:1,nr:9,
鹏从	nr:1,
鹏凌	nz:1,
鹏城	s:1,
鹏大	nr:2,
鹏宇	nr:2,
鹏斌	nr:1,
鹏新	nr:1,
鹏泰	nz:1,
鹏程	nz:5,
鹏程万里	i:1,
鹏翮	nr:1,
鹏航	nr:2,
鹏辉	nr:1,
鹏达	nz:1,
鹏运	nz:4,
鹏飞	nr:36,
鹏鸣	nr:1,
鹏鹏	nr:1,
鹏龙	nr:1,
鹗	Ng:1,
鹜	Ng:1,
鹜窝村	ns:1,
鹞	Ng:1,
鹞式	b:1,
鹞雀	n:1,
鹤	nr:2,n:11,
鹤亭	nr:1,
鹤冈洋	nr:1,
鹤发童颜	i:2,
鹤壁市	ns:9,
鹤寿	nr:4,
鹤山	ns:5,
鹤山市	ns:3,
鹤岗	ns:1,
鹤岗市	ns:2,
鹤峰	ns:2,
鹤峰县	ns:3,
鹤年	nr:1,
鹤年堂	nz:1,
鹤庆县	ns:2,
鹤望兰	n:1,
鹤松	nr:1,
鹤林	nr:1,
鹤洋	nr:28,
鹤溪	ns:1,
鹤熊	nr:5,
鹤瑞	nz:1,
鹤皋	nr:1,
鹤祥	nr:4,
鹤立鸡群	i:1,
鹤章	nr:1,
鹤群	n:1,
鹤翔	nr:2,
鹤芳	nr:4,
鹤逸	nr:1,
鹤镛	nr:3,
鹤高	nr:13,
鹤鹏	nr:1,
鹤龄	nr:8,
鹤龙	nr:1,
鹦鹉	n:4,
鹦鹉山	ns:1,
鹧鸪	n:3,
鹩哥	n:4,
鹭	Ng:1,
鹭岛	ns:4,n:1,
鹭鸟	n:8,
鹭鸶	n:1,
鹭鹚	n:1,
鹰	nr:9,j:2,n:14,
鹰嘴	n:1,
鹰子咀	ns:1,
鹰式	b:1,
鹰星	nz:1,
鹰派	nz:1,n:1,
鹰潭市	ns:3,
鹰爪	n:2,
鹰犬	n:1,
鹰窠顶	ns:2,
鹰记	nz:1,
鹰队	nt:1,
鹰首瓶	n:1,
鹰鹞	n:1,
鹳雀楼	ns:2,
鹿	nr:24,n:45,
鹿儿岛	ns:1,
鹿儿岛县	ns:1,
鹿冈乡	ns:1,
鹿厂镇	ns:1,
鹿回头	ns:2,nz:1,
鹿场	n:3,
鹿娃	n:11,
鹿寨	ns:1,
鹿岛	ns:14,
鹿峰	nz:11,
鹿希	nr:1,
鹿死谁手	i:2,
鹿泉	ns:2,
鹿泉市	ns:14,
鹿溪河	ns:2,
鹿特丹	ns:5,n:1,
鹿王	nz:2,
鹿群	n:4,
鹿茸	n:3,
鹿蕾	nr:18,
鹿角队	nt:14,
鹿邑	ns:4,
鹿邑县	ns:3,
鹿野道彦	nr:3,
鹿鸣	v:1,
麇集	v:1,
麋鹿	n:44,
麒麟	ns:2,n:2,
麒麟山	ns:2,
麒麟盖	ns:4,
麓	Ng:6,
麝香	n:2,
麝黎	nz:1,
麟	nr:8,Ng:1,
麟庐	nr:4,
麟清	nr:1,
麟祥	nr:2,
麦	Vg:1,nr:10,Ng:31,
麦久	nr:1,
麦克·坎宁	nr:1,
